route_id,passenger_id,passenger_name,individual_name,is_wheelchair,wheelchair_count,non_wheelchair_count,pickup_stop_id,dropoff_stop_id,planned_pickup_time,planned_dropoff_time,actual_pickup_time,actual_dropoff_time,total_ride_time_min,direct_drive_time_min,detour_time_min,dropoff_delay_min
R014,493,乘客422,乘客422,是,1,0,239,420,07:30,09:10,07:28,08:13,45.0,13.0,19.0,0.0
R014,494,乘客423,乘客423,是,1,0,240,420,07:40,09:10,07:37,08:13,36.0,13.0,15.0,0.0
R014,494,乘客423,乘客423跟車,否,0,1,240,420,07:40,09:10,07:37,08:13,36.0,13.0,15.0,0.0
R014,615,乘客529,乘客529,否,0,1,295,756,08:15,09:30,07:55,08:28,33.0,13.0,11.0,0.0
R014,622,乘客535,乘客535,否,0,1,301,202,09:20,09:55,08:23,08:58,35.0,9.0,21.0,0.0
R014,623,乘客536,乘客536,否,0,1,302,202,09:30,09:55,08:31,08:58,27.0,9.0,15.0,0.0
R014,503,乘客430,乘客430,否,0,1,247,395,09:35,09:55,08:43,09:14,31.0,13.0,15.0,0.0
R014,2050,乘客1757,乘客1757,是,1,0,840,303,10:00,10:15,09:29,09:49,20.0,17.0,0.0,0.0
R015,903,乘客797,乘客797,否,0,1,413,420,07:35,08:25,07:28,08:22,54.0,21.0,14.0,0.0
R015,904,乘客798,乘客798,是,1,0,414,420,08:00,08:25,08:05,08:22,17.0,9.0,0.0,0.0
R015,904,乘客798,乘客799,是,1,0,414,420,08:00,08:25,08:05,08:22,17.0,9.0,0.0,0.0
R015,904,乘客798,乘客799跟車,否,0,1,414,420,08:00,08:25,08:05,08:22,17.0,9.0,0.0,0.0
R015,907,乘客800,乘客800,是,1,0,414,201,08:00,08:30,08:05,08:27,22.0,11.0,0.0,0.0
R015,502,乘客429,乘客429,是,1,0,246,420,08:55,09:10,08:40,09:09,29.0,9.0,12.0,0.0
R015,2372,乘客2006,乘客2006,是,1,0,961,201,09:00,09:20,08:52,09:14,22.0,11.0,4.0,0.0
R015,2371,乘客2005,乘客2005,否,0,1,956,756,09:00,10:10,08:55,09:30,35.0,9.0,18.0,0.0
R015,1947,乘客1665,乘客1665,否,0,1,802,203,09:55,10:10,09:21,09:46,25.0,13.0,10.0,0.0
R016,1562,乘客1334,乘客1334,是,1,0,651,901,07:25,08:35,06:46,08:10,84.0,32.0,35.0,0.0
R016,1562,乘客1334,乘客1335,是,1,0,651,901,07:25,08:35,06:46,08:10,84.0,32.0,35.0,0.0
R016,1562,乘客1334,乘客1335跟車,否,0,1,651,901,07:25,08:35,06:46,08:10,84.0,32.0,35.0,0.0
R016,1714,乘客1461,乘客1461,否,0,1,696,313,07:40,08:30,06:56,07:41,45.0,19.0,17.0,0.0
R016,1309,乘客1131,乘客1131,否,0,1,405,561,08:15,08:25,07:15,07:21,6.0,2.0,0.0,0.0
R016,1309,乘客1131,乘客1132,否,0,1,405,561,08:15,08:25,07:15,07:21,6.0,2.0,0.0,0.0
R016,1309,乘客1131,乘客1133,否,0,1,405,561,08:15,08:25,07:15,07:21,6.0,2.0,0.0,0.0
R016,1309,乘客1131,乘客1134,否,0,1,405,561,08:15,08:25,07:15,07:21,6.0,2.0,0.0,0.0
R016,617,乘客531,乘客531,否,0,1,297,202,08:40,09:55,08:44,09:23,39.0,17.0,18.0,0.0
R016,618,乘客532,乘客532,否,0,1,298,394,08:45,09:10,08:51,09:13,22.0,9.0,11.0,3.0
R016,909,乘客802,乘客802,否,0,1,416,313,08:45,10:05,09:03,09:46,43.0,19.0,21.0,0.0
R017,1996,乘客1711,乘客1711,否,0,1,815,337,07:20,09:20,06:58,08:39,101.0,44.0,45.0,0.0
R017,2000,乘客1715,乘客1715,是,1,0,819,337,08:00,09:20,07:16,08:39,83.0,39.0,37.0,0.0
R017,2000,乘客1715,乘客1716,否,0,1,819,337,08:00,09:20,07:16,08:39,83.0,39.0,37.0,0.0
R017,212,乘客179,乘客179,否,0,1,118,347,08:15,09:40,08:01,08:49,48.0,17.0,23.0,0.0
R017,213,乘客180,乘客180,否,0,1,119,347,08:35,09:40,08:23,08:49,26.0,9.0,10.0,0.0
R017,1925,乘客1644,乘客1644,是,1,0,791,717,09:45,10:00,09:35,09:55,20.0,17.0,0.0,0.0
R018,1876,乘客1599,乘客1599,是,1,0,768,748,07:42,08:45,07:15,08:05,50.0,13.0,25.0,0.0
R018,1880,乘客1603,乘客1603,否,0,1,771,746,08:10,08:30,07:26,07:51,25.0,15.0,3.0,0.0
R018,1880,乘客1603,乘客1604,否,0,1,771,746,08:10,08:30,07:26,07:51,25.0,15.0,3.0,0.0
R018,2404,乘客2033,乘客2033,是,1,0,979,982,08:15,08:45,07:40,08:46,66.0,32.0,25.0,1.0
R018,2404,乘客2033,乘客2033跟車,否,0,1,979,982,08:15,08:45,07:40,08:46,66.0,32.0,25.0,1.0
R018,583,乘客503,乘客503,是,1,0,263,234,09:05,10:30,09:51,10:03,12.0,8.0,0.0,0.0
R018,583,乘客503,乘客503跟車,否,0,1,263,234,09:05,10:30,09:51,10:03,12.0,8.0,0.0,0.0
R019,2042,乘客1750,乘客1750,否,0,1,836,236,07:25,08:15,07:09,08:00,51.0,33.0,16.0,0.0
R019,998,乘客870,乘客870,否,0,1,438,236,07:45,08:45,07:46,08:18,32.0,13.0,12.0,0.0
R019,2047,乘客1755,乘客1755,是,1,0,839,441,08:40,09:20,08:11,09:15,64.0,31.0,26.0,0.0
R019,2047,乘客1755,乘客1755跟車,否,0,1,839,441,08:40,09:20,08:11,09:15,64.0,31.0,26.0,0.0
R019,1942,乘客1660,乘客1660,否,0,1,799,201,08:50,09:40,08:27,09:37,70.0,24.0,39.0,0.0
R019,2049,乘客1756,乘客1756,否,0,1,392,394,09:05,09:35,08:50,09:25,35.0,17.0,13.0,0.0
R020,2368,乘客2002,乘客2002,否,0,1,958,201,07:40,09:20,07:37,09:10,93.0,32.0,44.0,0.0
R020,2427,乘客2049,乘客2049,是,1,0,990,994,08:05,08:50,07:53,08:29,36.0,11.0,17.0,0.0
R020,2427,乘客2049,乘客2049跟車,否,0,1,990,994,08:05,08:50,07:53,08:29,36.0,11.0,17.0,0.0
R020,2429,乘客2050,乘客2050,是,1,0,991,271,08:25,09:00,08:12,08:36,24.0,9.0,8.0,0.0
R020,2430,乘客2051,乘客2051,是,1,0,992,993,09:35,09:50,09:32,09:55,23.0,19.0,0.0,5.0
R020,2430,乘客2051,乘客2051跟車,否,0,1,992,993,09:35,09:50,09:32,09:55,23.0,19.0,0.0,5.0
R021,1179,乘客1024,乘客1024,否,0,1,506,665,07:00,07:55,06:52,07:58,66.0,39.0,19.0,3.0
R021,1181,乘客1026,乘客1026,是,1,0,508,470,07:15,07:45,07:07,07:49,42.0,39.0,0.0,4.0
R021,266,乘客222,乘客222,是,1,0,142,292,08:00,09:40,08:23,09:09,46.0,11.0,23.0,0.0
R021,267,乘客223,乘客223,否,0,1,143,292,08:10,09:40,08:32,09:09,37.0,9.0,17.0,0.0
R021,269,乘客225,乘客225,是,1,0,145,292,08:30,09:40,08:51,09:09,18.0,11.0,0.0,0.0
R021,1401,乘客1211,乘客1211,否,0,1,593,202,10:00,10:30,09:19,09:46,27.0,26.0,0.0,0.0
R022,1613,乘客1375,乘客1375,否,0,1,668,138,07:05,08:20,06:47,08:19,92.0,40.0,32.0,0.0
R022,1617,乘客1378,乘客1378,是,1,0,671,138,07:25,08:20,07:05,08:19,74.0,37.0,22.0,0.0
R022,1617,乘客1378,乘客1378跟車,否,0,1,671,138,07:25,08:20,07:05,08:19,74.0,37.0,22.0,0.0
R022,1621,乘客1381,乘客1381,是,1,0,673,132,07:40,08:20,07:19,08:23,64.0,39.0,11.0,3.0
R022,1621,乘客1381,乘客1381跟車,否,0,1,673,132,07:40,08:20,07:19,08:23,64.0,39.0,11.0,3.0
R022,934,乘客819,乘客819,是,1,0,422,1063,08:15,08:55,07:50,08:48,58.0,22.0,23.0,0.0
R022,934,乘客819,乘客819跟車,否,0,1,422,1063,08:15,08:55,07:50,08:48,58.0,22.0,23.0,0.0
R022,1185,乘客1030,乘客1030,否,0,1,510,866,09:40,10:40,09:15,09:38,23.0,22.0,0.0,0.0
R023,1755,乘客1494,乘客1494,是,1,0,714,420,07:45,09:40,07:39,09:27,108.0,52.0,42.0,0.0
R023,1755,乘客1494,乘客1494跟車,否,0,1,714,420,07:45,09:40,07:39,09:27,108.0,52.0,42.0,0.0
R023,2414,乘客2041,乘客2041,是,1,0,985,987,07:45,09:45,07:57,09:43,106.0,52.0,40.0,0.0
R023,2414,乘客2041,乘客2041跟車,否,0,1,985,987,07:45,09:45,07:57,09:43,106.0,52.0,40.0,0.0
R023,2416,乘客2042,乘客2042,否,0,1,986,420,08:35,09:30,08:31,09:27,56.0,39.0,10.0,0.0
R023,2416,乘客2042,乘客2042跟車,否,0,1,986,420,08:35,09:30,08:31,09:27,56.0,39.0,10.0,0.0
R023,1946,乘客1664,乘客1664,否,0,1,801,201,09:20,09:40,09:00,09:30,30.0,22.0,1.0,0.0
R024,1221,乘客1059,乘客1059,否,0,1,377,649,07:30,08:50,06:36,07:45,69.0,21.0,39.0,0.0
R024,1222,乘客1060,乘客1060,否,0,1,522,650,07:55,08:45,06:52,07:36,44.0,13.0,24.0,0.0
R024,2120,乘客1814,乘客1814,是,1,0,873,1123,08:25,08:50,07:13,08:05,52.0,21.0,24.0,0.0
R024,1224,乘客1062,乘客1062,否,0,1,524,650,08:30,08:45,07:25,07:36,11.0,9.0,0.0,0.0
R024,1054,乘客916,乘客916,否,0,1,464,211,08:50,09:00,08:21,08:28,7.0,6.0,0.0,0.0
R024,2121,乘客1815,乘客1815,是,1,0,175,812,09:00,09:50,08:43,09:22,39.0,11.0,22.0,0.0
R024,1989,乘客1704,乘客1704,否,0,1,811,812,09:10,09:20,08:55,09:22,27.0,6.0,16.0,2.0
R024,2122,乘客1816,乘客1816,否,0,1,874,211,09:10,09:55,09:07,09:25,18.0,11.0,2.0,0.0
R025,1410,乘客1217,乘客1217,否,0,1,594,601,07:00,07:50,06:20,07:17,57.0,32.0,21.0,0.0
R025,1411,乘客1218,乘客1218,否,0,1,595,600,07:15,08:15,06:25,07:27,62.0,36.0,22.0,0.0
R025,2113,乘客1807,乘客1807,否,0,1,870,138,07:25,08:30,06:34,07:54,80.0,55.0,21.0,0.0
R025,2114,乘客1808,乘客1808,否,0,1,871,131,07:40,08:30,06:44,07:57,73.0,53.0,16.0,0.0
R025,1412,乘客1219,乘客1219,否,0,1,596,622,08:40,09:20,08:29,09:09,40.0,15.0,21.0,0.0
R025,724,乘客628,乘客628,否,0,1,344,346,08:45,09:20,08:39,09:14,35.0,9.0,22.0,0.0
R025,1413,乘客1220,乘客1220,否,0,1,597,1095,08:50,09:00,08:46,08:53,7.0,6.0,0.0,0.0
R026,2112,乘客1806,乘客1806,否,0,1,869,138,07:05,08:30,07:06,08:26,80.0,60.0,15.0,0.0
R026,1505,乘客1283,乘客1283,否,0,1,541,31,07:35,09:35,07:53,09:02,69.0,24.0,38.0,0.0
R026,1505,乘客1283,乘客1283跟車,否,0,1,541,31,07:35,09:35,07:53,09:02,69.0,24.0,38.0,0.0
R026,1525,乘客1298,乘客1298,否,0,1,639,70,08:00,08:20,08:11,08:21,10.0,9.0,0.0,1.0
R026,2243,乘客1907,乘客1907,否,0,1,913,41,08:45,09:15,08:40,08:47,7.0,6.0,0.0,0.0
R026,2244,乘客1908,乘客1908,否,0,1,79,80,09:35,10:10,09:24,09:50,26.0,13.0,11.0,0.0
R026,2245,乘客1909,乘客1909,否,0,1,92,44,09:45,10:15,09:40,10:00,20.0,13.0,5.0,0.0
R027,2040,乘客1749,乘客1749,是,1,0,834,236,07:10,08:15,06:41,07:59,78.0,28.0,39.0,0.0
R027,2040,乘客1749,乘客1749跟車,否,0,1,834,236,07:10,08:15,06:41,07:59,78.0,28.0,39.0,0.0
R027,2044,乘客1752,乘客1752,否,0,1,838,236,07:50,08:15,07:03,07:59,56.0,26.0,20.0,0.0
R027,477,乘客407,乘客407,是,1,0,230,236,07:50,08:25,07:32,08:20,48.0,22.0,16.0,0.0
R027,477,乘客407,乘客407跟車,否,0,1,230,236,07:50,08:25,07:32,08:20,48.0,22.0,16.0,0.0
R027,1939,乘客1657,乘客1657,否,0,1,796,201,08:15,09:40,08:08,09:18,70.0,22.0,33.0,0.0
R027,2045,乘客1753,乘客1753,否,0,1,232,235,08:25,08:30,08:30,08:35,5.0,4.0,0.0,5.0
R027,2046,乘客1754,乘客1754,否,0,1,232,202,08:25,09:45,08:30,09:25,55.0,24.0,21.0,0.0
R027,501,乘客428,乘客428,是,1,0,245,420,08:45,09:10,09:01,09:15,14.0,11.0,0.0,5.0
R028,2272,乘客1931,乘客1931,否,0,1,923,431,06:30,07:30,06:28,07:32,64.0,63.0,0.0,2.0
R028,256,乘客214,乘客214,否,0,1,68,31,08:10,08:50,07:42,08:22,40.0,11.0,24.0,0.0
R028,255,乘客213,乘客213,否,0,1,136,31,08:10,08:50,08:00,08:22,22.0,15.0,3.0,0.0
R028,257,乘客215,乘客215,否,0,1,137,31,08:30,08:50,08:10,08:22,12.0,9.0,0.0,0.0
R028,270,乘客226,乘客226,否,0,1,146,521,09:00,09:20,08:42,08:53,11.0,8.0,0.0,0.0
R028,271,乘客227,乘客227,否,0,1,147,521,09:10,09:20,08:49,08:53,4.0,2.0,0.0,0.0
